Rascunho de ADR — registro da decisão de dados			
Este é o insumo do Método de Decisão da disciplina. Preencha em prosa, não em tópicos soltos.			
			
Coluna C = resposta da equipe. Coluna D traz o que se espera em cada campo.			
#	Campo do ADR	Resposta da equipe	O que se espera aqui
1	Título da decisão	Adotar PostgreSQL com extensão PostGIS como banco de dados principal (Camada Gold)	Frase curta no imperativo: "Adotar PostgreSQL como banco principal".
2	Data	09/09/2026	Data em que a decisão foi tomada.
3	Status	aceito	proposto | aceito | substituído por (nº).
4	Quem decidiu	Equipe de Engenharia de Dados G5	Nomes de quem participou da decisão.
5	Contexto	O projeto precisa centralizar e cruzar informações geográficas (focos de calor do INPE, limites de UCs do IBRAM, áreas de Reserva Legal do CAR e flora do SiBBr). Essas consultas exigem alta precisão topológica espacial para cruzamento analítico eficiente e reprodutível.	O que está acontecendo no projeto que torna a decisão necessária. Sem contexto o ADR não serve para nada daqui a seis meses.
6	Requisitos e restrições	Volume estimado inicial de 3 a 5 GB. Necessidade de latência de consultas espaciais < 500 ms na API. Demanda por forte integridade transacional (ACID) e restrição rigorosa de geometrias (polígonos topologicamente válidos).	Volume esperado, latência exigida, garantias necessárias, prazo, custo, o que a equipe já sabe usar.
7	Padrões de acesso previstos	Agregações geoespaciais complexas (ex: "Quais UCs registraram a maior densidade de focos de calor nos meses de seca?"), operando rotineiramente com funções de interseção espacial (`ST_Intersects`) sob filtros temporais rígidos.	As consultas mais frequentes (traga da aba 3 Modelos).
8	Decisão	Centralizaremos a camada Gold (processamento e cruzamentos oficiais) no SGBD relacional PostgreSQL, utilizando a extensão PostGIS para o manuseio topológico das entidades espaciais consolidadas.	O que foi decidido, em uma frase afirmativa.
9	Alternativa 1 considerada	Banco Orientado a Documentos (ex: MongoDB com armazenamento nativo em GeoJSON).	Nome da alternativa.
10	  → prós da alternativa 1	Máxima flexibilidade para ingerir dados aninhados e padrões complexos (como arquivos Darwin Core brutos) sem a necessidade de migrações pesadas de esquema.	Onde ela ganharia.
11	  → contras da alternativa 1	Suporte geoespacial rudimentar em comparação ao PostGIS. Extrema ineficiência para cruzamentos multi-polígonos densos e ausência de garantias transacionais robustas cruciais para a consistência de limites do CAR.	Onde ela perde para a escolhida.
12	  → por que não foi escolhida	A carência de funções analíticas geográficas nativas e a dificuldade de manter restrições de integridade estrutural forçaram o abandono da arquitetura baseada em documentos para este projeto.	O critério concreto que a eliminou.
13	Alternativa 2 considerada	Arquitetura de Data Lakehouse unificada (uso apenas de arquivos estáticos GeoParquet particionados lidos diretamente em memória via DuckDB).	Nome da alternativa.
14	  → prós da alternativa 2	Excelente taxa de compressão, menor custo de armazenamento prolongado e altíssima velocidade em varreduras analíticas colunares brutas sem gargalos no banco principal.	Onde ela ganharia.
15	  → contras da alternativa 2	Limitações agudas na atualização pontual (UPSERTs geográficos) de registros anômalos. Falta de mecanismos eficientes de prevenção e integridade para carga corrompida, além da latência sub-ótima em buscas unitárias pontuais da API.	Onde ela perde para a escolhida.
16	  → por que não foi escolhida	O projeto exige uma base operacional "viva", com inserção transacional validada no momento da carga e baixa latência constante (API < 500 ms), sendo o modelo puro de Data Lakehouse mais indicado apenas para cargas analíticas de leitura fria.	O critério concreto que a eliminou.
17	Evidência que sustenta a decisão	PostGIS é um padrão maduro da OGC (Open Geospatial Consortium). Benchmarks da documentação apontam que índices espaciais em árvore (GiST) resolvem operações de intersecção em geometrias complexas na escala de milissegundos, superando amplamente varreduras completas necessárias em outras abordagens não nativas.	Medição, prova de conceito, benchmark ou fonte consultada. Opinião não é evidência.
18	Consequências positivas	Integridade referencial robusta assegurada; disponibilidade imediata de um vasto acervo de métodos GIS (`ST_Area`, `ST_Intersects`); alinhamento técnico com uma equipe que já domina bem operações DDL e DML tradicionais em SQL.	O que fica mais fácil a partir de agora.
19	Consequências negativas	A administração relacional incorre em infraestrutura mais engessada e custosa. Demandará rigor exaustivo nas rotinas ETL de conversão de CRS/SRID (Sistemas de Coordenadas de Referência) antes de permitir dados dentro do banco.	A dor aceita conscientemente. Todo ADR sem essa parte está incompleto.
20	Riscos assumidos	Eventual gargalo de disco (I/O) durante as altas temporadas de queimadas se a carga diária do INPE sofrer picos massivos. Há risco de fragmentação excessiva dos índices GiST requerendo processos pesados de `VACUUM` regularmente.	Traga da aba Riscos os que decorrem desta decisão.
21	Como e quando revisitar	Esta decisão será revisitada se a janela temporal do pipeline diário de carga das origens exceder 1 hora de retenção da trava do banco de forma contínua, ou se o tempo de resposta mediano da API analítica ultrapassar o limite contratual de 500 ms. Nesses cenários, a estrutura precisará ser bifurcada usando GeoParquet para descarga analítica passiva.	Que sinal (volume, latência, custo, nova exigência) fará a equipe reabrir esta decisão.
